power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
13.5,13.806511595329969,Fail,15625,15147,478,14868,757,14190,False,247,"{'Component_1': 2, 'Component_2': 3, 'Component_3': 3, 'Component_4': 3, 'Component_5': 3, 'Component_6': 4, 'Component_7': 3, 'Component_8': 2, 'Component_9': 3, 'Component_10': 2, 'Component_11': 6, 'Component_12': 3, 'Component_13': 2, 'Component_14': 2, 'Component_15': 3, 'Component_16': 2, 'Component_17': 4, 'Component_18': 2, 'Component_19': 2, 'Component_20': 8, 'Component_21': 7, 'Component_22': 2, 'Component_23': 3, 'Component_24': 3, 'Component_25': 2, 'Component_26': 3, 'Component_27': 5, 'Component_28': 4, 'Component_29': 4, 'Component_30': 5, 'Component_31': 5, 'Component_32': 2, 'Component_33': 2, 'Component_34': 3, 'Component_35': 2, 'Component_36': 2, 'Component_37': 2, 'Component_38': 3, 'Component_39': 5, 'Component_40': 5, 'Component_41': 5, 'Component_42': 5, 'Component_43': 2, 'Component_44': 2, 'Component_45': 2, 'Component_46': 4, 'Component_47': 2, 'Component_48': 3, 'Component_49': 4, 'Component_50': 6, 'Component_51': 2, 'Component_52': 3, 'Component_53': 4, 'Component_54': 4, 'Component_55': 4, 'Component_56': 10, 'Component_57': 3, 'Component_58': 2, 'Component_59': 5, 'Component_60': 7, 'Component_61': 2, 'Component_62': 3, 'Component_63': 2, 'Component_64': 4, 'Component_65': 3, 'Component_66': 3, 'Component_67': 2, 'Component_68': 4, 'Component_69': 5, 'Component_70': 7, 'Component_71': 8, 'Component_72': 2, 'Component_73': 6, 'Component_74': 4, 'Component_75': 2, 'Component_76': 8, 'Component_77': 3, 'Component_78': 4, 'Component_79': 6, 'Component_80': 2, 'Component_81': 2, 'Component_82': 2, 'Component_83': 3, 'Component_84': 3, 'Component_85': 7, 'Component_86': 6, 'Component_87': 3, 'Component_88': 2, 'Component_89': 7, 'Component_90': 2, 'Component_91': 2, 'Component_92': 2, 'Component_93': 2, 'Component_94': 2, 'Component_95': 3, 'Component_96': 5, 'Component_97': 2, 'Component_98': 2, 'Component_99': 2, 'Component_100': 2, 'Component_101': 4, 'Component_102': 5, 'Component_103': 2, 'Component_104': 4, 'Component_105': 2, 'Component_106': 5, 'Component_107': 4, 'Component_108': 9, 'Component_109': 6, 'Component_110': 2, 'Component_111': 3, 'Component_112': 4, 'Component_113': 6, 'Component_114': 3, 'Component_115': 5, 'Component_116': 2, 'Component_117': 4, 'Component_118': 2, 'Component_119': 6, 'Component_120': 2, 'Component_121': 2, 'Component_122': 5, 'Component_123': 2, 'Component_124': 4, 'Component_125': 3, 'Component_126': 3, 'Component_127': 3, 'Component_128': 2, 'Component_129': 2, 'Component_130': 2, 'Component_131': 4, 'Component_132': 3, 'Component_133': 4, 'Component_134': 4, 'Component_135': 3, 'Component_136': 3, 'Component_137': 3, 'Component_138': 2, 'Component_139': 4, 'Component_140': 3, 'Component_141': 2, 'Component_142': 2, 'Component_143': 3, 'Component_144': 4, 'Component_145': 4, 'Component_146': 2, 'Component_147': 2, 'Component_148': 2, 'Component_149': 4, 'Component_150': 5, 'Component_151': 2, 'Component_152': 2, 'Component_153': 2, 'Component_154': 4, 'Component_155': 3, 'Component_156': 2, 'Component_157': 2, 'Component_158': 3, 'Component_159': 4, 'Component_160': 2, 'Component_161': 2, 'Component_162': 2, 'Component_163': 4, 'Component_164': 2, 'Component_165': 3, 'Component_166': 2, 'Component_167': 3, 'Component_168': 3, 'Component_169': 2, 'Component_170': 2, 'Component_171': 2, 'Component_172': 2, 'Component_173': 2, 'Component_174': 2, 'Component_175': 2, 'Component_176': 3, 'Component_177': 3, 'Component_178': 2, 'Component_179': 2, 'Component_180': 2, 'Component_181': 2, 'Component_182': 4, 'Component_183': 2, 'Component_184': 3, 'Component_185': 2, 'Component_186': 2, 'Component_187': 4, 'Component_188': 4, 'Component_189': 4, 'Component_190': 3, 'Component_191': 3, 'Component_192': 2, 'Component_193': 4, 'Component_194': 2, 'Component_195': 2, 'Component_196': 2, 'Component_197': 3, 'Component_198': 2, 'Component_199': 3, 'Component_200': 2, 'Component_201': 3, 'Component_202': 2, 'Component_203': 2, 'Component_204': 2, 'Component_205': 3, 'Component_206': 3, 'Component_207': 2, 'Component_208': 2, 'Component_209': 3, 'Component_210': 2, 'Component_211': 4, 'Component_212': 2, 'Component_213': 2, 'Component_214': 2, 'Component_215': 2, 'Component_216': 2, 'Component_217': 2, 'Component_218': 2, 'Component_219': 3, 'Component_220': 2, 'Component_221': 2, 'Component_222': 3, 'Component_223': 2, 'Component_224': 3, 'Component_225': 2, 'Component_226': 2, 'Component_227': 4, 'Component_228': 3, 'Component_229': 2, 'Component_230': 2, 'Component_231': 2, 'Component_232': 2, 'Component_233': 2, 'Component_234': 2, 'Component_235': 2, 'Component_236': 2, 'Component_237': 2, 'Component_238': 2, 'Component_239': 2, 'Component_240': 2, 'Component_241': 3, 'Component_242': 2, 'Component_243': 2, 'Component_244': 2, 'Component_245': 2, 'Component_246': 2, 'Component_247': 2}",13.806511595329969
2.5,36.73155618641336,Pass,15625,15585,40,116,15509,15504,True,1,{'Component_1': 15509},36.73155618641336
1.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.5,45.38489907902925,Pass,15625,15602,23,226,15399,15555,True,1,{'Component_1': 15399},45.38489907902925
10.0,N/A,Pass,15625,15624,1,10,15615,15621,True,1,{'Component_1': 15615},N/A
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
13.5,N/A,Pass,15625,15624,1,63,15562,15621,True,1,{'Component_1': 15562},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.0,N/A,Pass,15625,15624,1,55,15570,15621,True,1,{'Component_1': 15570},N/A
4.5,22.5352771275546,Fail,15625,15498,127,604,15021,15243,True,28,"{'Component_1': 14936, 'Component_2': 4, 'Component_3': 2, 'Component_4': 2, 'Component_5': 11, 'Component_6': 4, 'Component_7': 2, 'Component_8': 2, 'Component_9': 4, 'Component_10': 3, 'Component_11': 3, 'Component_12': 4, 'Component_13': 4, 'Component_14': 2, 'Component_15': 2, 'Component_16': 2, 'Component_17': 2, 'Component_18': 2, 'Component_19': 2, 'Component_20': 4, 'Component_21': 4, 'Component_22': 4, 'Component_23': 2, 'Component_24': 4, 'Component_25': 4, 'Component_26': 2, 'Component_27': 2, 'Component_28': 2}",22.5352771275546
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
7.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
4.0,N/A,Pass,15625,15624,1,2,15623,15621,True,1,{'Component_1': 15623},N/A
8.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.5,N/A,Pass,15625,15624,1,48,15577,15621,True,1,{'Component_1': 15577},N/A
-1.5,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
1.5,244.07375934335914,Pass,15625,15623,2,6,15619,15618,True,1,{'Component_1': 15619},244.07375934335914
2.5,234.23279018958897,Pass,15625,15623,2,5,15620,15618,True,1,{'Component_1': 15620},234.23279018958897
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
10.0,N/A,Fail,15625,15624,1,18,15607,15621,True,3,"{'Component_1': 15603, 'Component_2': 2, 'Component_3': 2}",N/A
13.5,N/A,Pass,15625,15624,1,63,15562,15621,True,1,{'Component_1': 15562},N/A
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
13.0,N/A,Pass,15625,15624,1,35,15590,15621,True,1,{'Component_1': 15590},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,N/A,Pass,15625,15624,1,7,15618,15621,True,1,{'Component_1': 15618},N/A
7.5,N/A,Pass,15625,15624,1,8,15617,15621,True,1,{'Component_1': 15617},N/A
13.5,N/A,Fail,15625,15624,1,63,15562,15621,True,6,"{'Component_1': 15545, 'Component_2': 4, 'Component_3': 3, 'Component_4': 3, 'Component_5': 3, 'Component_6': 4}",N/A
7.0,57.74979150259707,Pass,15625,15612,13,127,15498,15585,True,1,{'Component_1': 15498},57.74979150259707
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
1.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.5,N/A,Fail,15625,15624,1,65,15560,15621,True,7,"{'Component_1': 15544, 'Component_2': 3, 'Component_3': 3, 'Component_4': 2, 'Component_5': 3, 'Component_6': 3, 'Component_7': 2}",N/A
2.5,111.88475926154842,Pass,15625,15621,4,10,15615,15612,True,1,{'Component_1': 15615},111.88475926154842
10.0,48.54456900322225,Fail,15625,15603,22,299,15326,15558,True,4,"{'Component_1': 1804, 'Component_2': 13518, 'Component_3': 2, 'Component_4': 2}",48.54456900322225
